sentence,type,subject,direction,object,issue,source
"Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.",actor-actor,Energy industry experts,opposition,UK government,transition from gas boilers to heat pumps,gptlarge_baseline
"Well-insulated homes are cheap to run – in the best, heating bills are minimal – and pleasant to live in, especially for older people, children and those with health problems, but installing insulation is easy to get wrong.",NA,NA,NA,NA,NA,gptlarge_baseline
Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge,NA,NA,NA,NA,NA,gptlarge_baseline
"Even if everything is exploding around him, he has a plan and knows the direction we’re going in,” they added.",actor-actor,Labour,support,Prime Minister,budget,gptlarge_baseline
"Miliband spoke as world leaders have been meeting in Belém, Brazil, before the crucial Cop30 conference begins on Monday, at which governments of every stripe will attempt to forge a pathway that limits global temperatures and avoids the ravages of climate breakdown.",NA,NA,NA,NA,NA,gptlarge_baseline
"This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy",actor-issue,Labour,support,NA,clean energy,gptlarge_baseline
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.",actor-actor,Labour Party,opposition,UK Government,zerobill homes,gptlarge_baseline
"Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.",actor-issue,UK government,support,NA,energy efficiency levies,gptlarge_baseline
"However, there have been concerns about the increased risk of fires from the appliances",NA,NA,NA,NA,NA,gptlarge_baseline
Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.,actor-issue,Labour,support,public,taxes and green levies,gptlarge_baseline
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-actor,Labour,opposition,Labour,UK climate policies,gptlarge_baseline
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-actor,Labour,opposition,Labour,UK climate policies,gptlarge_baseline
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-actor,Labour,opposition,Labour,UK climate policies,gptlarge_baseline
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-actor,Labour,opposition,Labour,UK climate policies,gptlarge_baseline
