id;sentence;type;subject;direction;object;issue;alt_issue;source;prompttype;match_det;match_dir;match_sub;match_ob;match_issue;match_whole;issue_problems;cs_id
55;This will be achieved by removing levies used to subsidise older renewable energy projects from bills and shifting the costs to general taxation instead.;actor_issue;Labour Party;support;NA;abolishing renewables subsidies;NA;llm;baseline;1;0;1;1;0;0;;1
55;This will be achieved by removing levies used to subsidise older renewable energy projects from bills and shifting the costs to general taxation instead.;actor_issue;Labour Party;support;NA;energy bills;NA;llm;shortened;1;0;1;1;0;0;;1
55;This will be achieved by removing levies used to subsidise older renewable energy projects from bills and shifting the costs to general taxation instead.;actor_issue;UK Government;support;NA;removal of levies subsidising older renewable energy projects from energy bills and shifting the cost to general taxation;NA;llm;fewshot;1;1;1;1;1;1;1;1
90;"""I think it's probably fair to say that 10 gigawatts by 2030 is undeliverable,"" says Clare Jackson, chief executive of Hydrogen UK, a trade body.";actor_issue;Hydrogen UK;opposition;NA;10 gigawatts by 2030;NA;llm;baseline;1;1;1;1;1;1;1;2
90;"""I think it's probably fair to say that 10 gigawatts by 2030 is undeliverable,"" says Clare Jackson, chief executive of Hydrogen UK, a trade body.";actor_issue;Hydrogen UK;opposition;NA;hydrogen production target;NA;llm;shortened;1;1;1;1;1;1;;2
90;"""I think it's probably fair to say that 10 gigawatts by 2030 is undeliverable,"" says Clare Jackson, chief executive of Hydrogen UK, a trade body.";actor_issue;Hydrogen UK;opposition;NA;10?GW clean hydrogen production target by 2030;NA;llm;fewshot;1;1;1;1;1;1;1;2
85;"""It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.";actor_issue;Labour Party;support;NA;decrease costs of living;NA;llm;baseline;1;1;1;1;0;0;;3
85;"It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.";actor_issue;Labour Party;support;NA;cost of living;NA;llm;shortened;1;0;1;1;0;0;;3
85;"It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.";actor_issue;Labour Party;support;NA;cost of living;NA;llm;fewshot;1;0;1;1;0;0;;3
58;"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor_issue;Labour Party;support;NA;cut bills by £300 on average;NA;llm;baseline;1;1;1;1;1;1;1;4
58;"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor_issue;Labour Party;support;NA;energy bill reduction;NA;llm;shortened;1;1;1;1;1;1;;4
58;"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor_issue;Labour Party;support;NA;create 650,000 good jobs;NA;llm;baseline;1;1;1;1;1;1;1;5
58;"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor_issue;Labour Party;support;NA;green jobs / employment;NA;llm;shortened;1;1;1;1;1;1;;5
58;"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor_issue;Labour Party;support;NA;deliver real energy security;NA;llm;baseline;1;1;1;1;1;1;;6
68;"A book published on November 5 by Lord Stern of Brentford, a renowned economist who produced a climate report for Gordon Brown, said action on climate change was not an obstacle to prosperity but ""the only really sensible way of driving growth""";actor_issue;Lord Stern of Brentford;support;NA;climate change;NA;llm;shortened;1;1;2;1;1;2;1;7
68;"A book published on November 5 by Lord Stern of Brentford, a renowned economist who produced a climate report for Gordon Brown, said action on climate change was not an obstacle to prosperity but ""the only really sensible way of driving growth""";actor_issue;Lord Stern of Brentford;support;NA;action on climate change;NA;llm;fewshot;1;1;2;1;1;2;;7
8;Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.;actor_issue;UK Government;support;NA;take energy efficiency levies off bills;NA;llm;baseline;1;1;1;1;1;1;;8
8;Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.;actor_issue;Labour Party;opposition;NA;energy efficiency levies;NA;llm;shortened;1;1;1;1;1;1;;8
8;Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.;actor_issue;UK Government;opposition;NA;energy efficiency levies on bills;NA;llm;fewshot;1;1;1;1;1;1;;8
54;And, because Miliband has set a 2030 deadline to produce almost all of our power from clean sources, many of these costs are on bills sooner and higher than they otherwise would be.;actor_issue;Labour Party;opposition;NA;produce almost all of our power from clean sources by 2030;NA;llm;baseline;1;0;1;1;1;0;1;9
54;And, because Miliband has set a 2030 deadline to produce almost all of our power from clean sources, many of these costs are on bills sooner and higher than they otherwise would be.;actor_issue;Labour Party;support;NA;renewable energy transition;NA;llm;shortened;1;1;1;1;1;1;;9
54;And, because Miliband has set a 2030 deadline to produce almost all of our power from clean sources, many of these costs are on bills sooner and higher than they otherwise would be.;actor_issue;Labour Party;opposition;NA;2030 deadline for clean power generation;NA;llm;fewshot;1;0;1;1;1;0;1;9
61;"Another industry source said the government wanted energy suppliers to help ministers ""take the credit for the cut in bills"", adding: ""They made it clear that, when we communicated to our customers about the April price drop we [should] say that it is because of the wonderful government""";actor-actor;UK Government;support;energy suppliers;cut in bills;NA;llm;baseline;1;0;0;0;1;0;;10
61;"Another industry source said the government wanted energy suppliers to help ministers ""take the credit for the cut in bills"", adding: ""They made it clear that, when we communicated to our customers about the April price drop we [should] say that it is because of the wonderful government""";actor-actor;Labour Party;support;energy suppliers;energy bill cuts;NA;llm;shortened;1;0;0;0;1;0;;10
61;"Another industry source said the government wanted energy suppliers to help ministers ""take the credit for the cut in bills"", adding: ""They made it clear that, when we communicated to our customers about the April price drop we [should] say that it is because of the wonderful government""";actor-actor;energy industry;ambivalent;UK government;energy bill cuts;NA;llm;fewshot;1;0;1;1;1;0;;10
22;"As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"".";actor_issue;UK Government;opposition;NA;cut household energy bills by £300 a year by 2030;NA;llm;baseline;1;0;1;1;1;0;1;11
22;"As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"".";actor_issue;UK Government;opposition;NA;cutting household energy bills;NA;llm;shortened;1;0;1;1;1;0;;11
