sentence;type;subject;subject_organisation;direction;object;object_organisation;issue;issue_cat;model;prompt;match_type ;match_subject ;match_direction ;match_object;match_issue ;match_whole ;match_cat;cs_id
This will be achieved by removing levies used to subsidise older renewable energy projects from bills and shifting the costs to general taxation instead.;actor-issue;UK Government;Labour Party;support;NA;NA;removing levies from energy bills and shifting costs to general taxation;FINANCES;gpt120;codebook;1;1;1;1;1;1;1;1
"""I think it's probably fair to say that 10 gigawatts by 2030 is undeliverable,"" says Clare Jackson, chief executive of Hydrogen UK, a trade body.";actor-issue;Clare Jackson;Hydrogen UK;opposition;NA;NA;10 gigawatts by 2030 clean hydrogen production target;RENEWABLES;gpt120;codebook;1;1;1;1;1;1;1;2
"It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.";actor-issue;Miliband;Labour Party;support;NA;NA;cost of living;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;3
"It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.";actor-issue;Miliband;Labour Party;support;NA;NA;creation of good jobs for the future;ECONOMIC STRUCTURE;gpt120;codebook;1;1;1;1;1;1;1;3
"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor-issue;Labour;Labour Party;support;NA;NA;create 650,000 good jobs;ECONOMIC STRUCTURE;gpt120;codebook;1;1;1;1;1;1;1;5
"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor-issue;Labour;Labour Party;support;NA;NA;cut bills by £300 on average;FINANCES;gpt120;codebook;1;1;1;1;1;0;0;5
"Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.";actor-issue;Labour;Labour Party;support;NA;NA;deliver real energy security;ENERGY USE;gpt120;codebook;1;1;1;1;1;1;1;6
"A book published on November 5 by Lord Stern of Brentford, a renowned economist who produced a climate report for Gordon Brown, said action on climate change was not an obstacle to prosperity but ""the only really sensible way of driving growth""";actor-issue;Lord Stern of Brentford;Labour Party;support;NA;NA;action on climate change;CLIMATE CHANGE (general);gpt120;codebook;1;1;1;1;1;1;1;7
Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.;actor-issue;UK Government;Labour Party;support;NA;NA;energy efficiency levies;FINANCES;gpt120;codebook;1;1;1;1;0;0;1;8
Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.;actor-issue;UK Government;Labour Party;support;NA;NA;warm homes plan;FINANCES;gpt120;codebook;1;1;1;1;0;0;1;8
