id,text,contexted
1,"Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.","Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan. The move will mean restricting heat-pump subsidies so that only those receiving certain benefits will be allowed to claim them, sharply bringing down costs to the government. Supporters of the change say that the subsidies, which can be as high as £7,500, were largely going to middle-class households that could have afforded them anyway > Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps. < Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”"
2,"Well-insulated homes are cheap to run – in the best, heating bills are minimal – and pleasant to live in, especially for older people, children and those with health problems, but installing insulation is easy to get wrong.","She said the sector had made about 7,000 roles redundant in the past three months, and the total jobs lost could reach 70,000 by the end of the year. The sector] needs certainty and security now if any meaningful progress on tackling fuel poverty and driving down home heating bills is going to be made in this parliament,” she added. Home insulation is one of the most effective ways of cutting energy bills , improving comfort and health, as well as reducing greenhouse gas emissions > Well-insulated homes are cheap to run – in the best, heating bills are minimal – and pleasant to live in, especially for older people, children and those with health problems, but installing insulation is easy to get wrong. < Anna Moore, the chief executive and founder of the retrofit company Domna, said insulation was often wrongly treated as a “simple fix”, but good installations required careful planning, especially for ventilation"
3,Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge,"Some economists warn such a move would risk benefiting those with larger homes and encouraging people to use more energy, but the Treasury is understood to be keen on the idea because it is simple and quick to implement. Alongside the VAT reduction, Reeves is planning to reduce or eliminate some of the green levies on bills, which could reduce costs for householders and undercut Reform’s promise to do the same. However, energy industry insiders say raiding energy efficiency funding to help pay for the move would be “disastrous”. > Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge < Those consulted on the plans say the chancellor is particularly looking at reducing or eliminating the energy company obligation, under which energy firms help pay for home improvement measures such as insulation and new heating schemes"
4,"Even if everything is exploding around him, he has a plan and knows the direction we’re going in,” they added.","The cost of UK borrowing fell slightly as the chancellor reiterated her “iron-clad” commitment to her fiscal rules, reassuring the bond markets. After the speech, Starmer told his cabinet the budget would neither starve the state of cash nor take “risks with more borrowing”, inferring that tax rises are the only option. Government sources said the prime minister had accepted the necessity of the move > Even if everything is exploding around him, he has a plan and knows the direction we’re going in,” they added. < Dhara Vyas, the chief executive of Energy UK, said: “Billions of pounds of investment have been on hold while we await the warm homes plan – all of which could be jeopardised by any sudden change of direction"
5,"Miliband spoke as world leaders have been meeting in Belém, Brazil, before the crucial Cop30 conference begins on Monday, at which governments of every stripe will attempt to forge a pathway that limits global temperatures and avoids the ravages of climate breakdown.","Defeatism never took a single of a fraction of a degree of global warming It never created a single job It never did anything.” > Miliband spoke as world leaders have been meeting in Belém, Brazil, before the crucial Cop30 conference begins on Monday, at which governments of every stripe will attempt to forge a pathway that limits global temperatures and avoids the ravages of climate breakdown. < The UN secretary-general, António Guterres, struck a note of desperation when he warned this week that efforts to limit heating to 1.5C above preindustrial levels – the goal of the Paris climate agreement, and the last safe point, according to scientists – had failed."
6,"This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy","In the worst case, one household was faced with a £250,000 bill for fixing the damage caused by poor installation Thousands more were hit with bills ranging from £250 to £18,000 to rectify work so poorly done that in some cases it posed a direct threat to health from mould and damp. While the Serious Fraud Office is being urged to investigate, the government must now try to repair not just the damage to houses, but the reputation of a battered industry that is vital to efforts to reduce the cost of living and tackle the climate crisis. > This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy < It will fund solar panels, batteries and low-carbon heat pumps, as well as home insulation measures"
7,"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.","Push for zero-bill homes is silly, says top Labour donor > Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support. < Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels."
8,"Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.","Hundreds of thousands to lose heat pump subsidies in Reeves’s budget plan Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget. Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK. > Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan. < The move will mean restricting heat-pump subsidies so that only those receiving certain benefits will be allowed to claim them, sharply bringing down costs to the government."
9,"However, there have been concerns about the increased risk of fires from the appliances","Vince said including heat pumps in the new scheme was a ""big mistake"", as was a move to put a levy on gas bills to subsidise electricity. It impacts the people that can least afford their bills, let alone dream of a heat pump"", Vince said. He has previously estimated that up to 17 million homes in the UK could have solar panels installed on their roofs, and praised efforts to lift restrictions on ""plug-in"" solar panels that can be installed on balconies, patios or flat roofs and plugged into a power point by residents without the need for specialist support. > However, there have been concerns about the increased risk of fires from the appliances < Figures compiled by QBE, the insurer, show that fire services attended incidents involving solar panels almost every other day in 2024, a rise of 60 per cent within two years."
10,Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.,"Reeves considers cut to green levies in effort to reduce cost of energy bills Rachel Reeves is considering slashing funding for more energy efficient homes to pay for a reduction in energy bills, sources have told the Guardian, as the chancellor looks for ways to ease the cost of living in this month’s budget. > Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill. < The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget."
